,Sarcasmo,corrected,corrections,token_count,unique_token_count,nostop_count,sent_count,ner_count,comma,question,exclamation,quotation,organization,caps,person,location,money,time,date,percent,noun,adj,pron,verb,cconj,adv,det,propn,num,part,intj,exclamation_2,noun_2,sent_count_2,exclamation_x_noun,nostop_count_x_intj,noun_x_cconj,texto
0,1,"No, era por saber si tenía que llevar un saco con el símbolo del dólar",0,16,16,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,2,0,0,0,0,0,9,1,0,0,0,"no, ser por saber si tener que llevar uno saco con el simbolo del dolar"
1,0,"¿A quién le importa? No, lo pregunto de verdad",1,12,12,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,1,4,0,0,0,"¿a quien el importar? no, el preguntar de verdad"
2,0,Pero voy a dar por hecho que ha pedido refuerzos,0,10,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,2,pero ir a dar por hecho que haber pedir refuerzo
3,0,¿Por qué no te callas? Tengo que pensar,0,10,10,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,¿por que no tu calla? tener que pensar
4,0,"Sí, sospechábamos un poco",0,5,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,3,0,"si, sospechabar uno poco"
5,0,Esto es ridículo. ¿En serio saldremos a jugar contra los North así vestidos?,2,16,16,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,1,1,0,0,0,0,1,4,0,0,0,este ser ridiculo. ¿en serio salir a jugar contra el north asi vestido?
6,0,Francamente no,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,francamente no
7,0,"David, Rey, Keita, Benny",3,7,5,7,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,"david, rey, keita, benny"
8,0,"""Y si lo llevas a uno de esos lugares de empeño. En cada dos cuadras hay un sujeto con un cartel que dice:""""compramos oro"""". Mucha gente lo hace""",1,34,27,18,3,1,0,0,0,6,0,0,0,0,0,0,0,0,7,1,4,2,1,0,5,0,1,0,0,0,49,9,0,0,7,"""y si el llevar a uno de ese lugar de empeño. en cada dos cuadra haber uno sujeto con uno cartel que dice:""""comprar oro"""". mucho gente el hacer"""
9,0,"No, Lana. ¡Qué va!",1,8,8,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,4,0,0,0,"no, lana. ¡que va!"
10,0,Y como es lógico voy a guardar mi pistola en la caja fuerte hasta que acabe la partida,1,18,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,3,0,0,0,0,0,9,1,0,0,3,y como ser logico ir a guardar mi pistola en el caja fuerte hasta que acabar el partida
11,0,"¿Oh, para mí? Oh, dios mío, allí está, el viejo Parches con su carita de felicidad. Gracias Villi, significa mucho para mí. Villi, esa corbata que usas, no sé de dónde la sacaste pero es superguay",7,47,35,25,4,4,7,1,0,0,0,0,0,0,0,0,0,0,4,1,5,5,1,3,4,3,1,0,2,0,16,16,0,50,4,"¿oh, para yo? oh, dios mio, alli estar, el viejo parches con su carita de felicidad. gracias villi, significar mucho para yo. villi, ese corbata que usa, no saber de donde el sacaste pero ser superguay"
12,0,"Lo siento, mi papá está tomándose el sarcasmo bol profesional muy en serio",1,14,14,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,2,0,0,0,0,0,16,1,0,0,0,"el sentir, mi papa estar tomar el el sarcasmo bol profesional mucho en serio"
13,0,No,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,no
14,0,¿No ves qué este deporte le hizo a su padre? ¿Acaso quieres terminar como él?,0,19,17,11,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,2,2,0,0,0,0,0,4,4,0,0,0,¿no ver que este deporte el hacer a su padre? ¿acaso querer terminar como el?
15,0,"Estaba allí en el cochecito, me puse una copa, llamó mi peletero, por cierto, me roba descaradamente. Llamé a la inmigración para intentar que le deportaran a su padre. Me puse otra copa, pero no quedaba hielo, así que, ¡ah!",2,51,39,30,3,2,7,0,1,0,0,0,0,0,0,0,0,0,7,1,4,9,1,4,6,0,0,0,1,1,49,9,7,30,7,"estar alli en el cochecito, yo pusir uno copa, llamar mi peletero, por cierto, yo robar descaradamente. llamar a el inmigracion para intentar que el deportarar a su padre. yo poner otro copa, pero no quedar hielo, asi que, ¡ah!"
16,0,Jackson atrapa el balón. Está corriendo por la meta y uh.,1,13,12,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,1,0,0,1,0,4,4,0,9,2,jackson atrapa el balon. estar correr por el meta y uh.
17,0,"El marcador está cero a cero, mientras los Atines avanzan a los Broncos",1,14,11,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,3,2,0,0,0,0,9,1,0,0,3,"el marcador estar cero a cero, mientras el atines avanzar a el broncos"
18,0,¿Dónde está qué? ¿Te han tirado la cadena?,0,12,10,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,1,4,0,0,0,¿donde estar que? ¿tu haber tirar el cadena?
19,0,"Ha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda",1,19,16,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,2,1,1,1,0,0,0,0,9,1,0,0,6,"haber, porque necesita ayuda con el niña y no querer llamar a lana y vien a pedirno ayuda"
20,0,¿Qué?,1,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,¿que?
21,0,¿Eh?,0,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,¿eh?
22,0,"Lana, tranquila, no beberé en tu ausencia y tomo esto muy en serio",0,15,13,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,1,1,0,0,0,0,4,1,0,0,2,"lana, tranquila, no bebere en tu ausencia y tomo este mucho en serio"
23,0,"Y su identificación, por favor",0,6,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,2,"y su identificacion, por favor"
24,0,"La primera línea cubrirá los huecos. Dile que te gustan sus uniformes. Cuide, Token, abracen a esos jugadores",2,22,20,15,3,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,0,4,2,0,0,0,0,16,9,0,0,0,"el primero linea cubrir el hueco. dile que tu gustar su uniforme. cuide, token, abracen a ese jugador"
25,0,"Por favor, le han disparado",0,6,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"por favor, el haber disparar"
26,0,Pásalo bien y ojalá que sufras de violencia homófoba,0,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,5,1,pasalir bien y ojala que sufra de violencia homofobo
27,0,"Sí llevo pipa, hombre no",0,6,6,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,4,4,0,5,0,"si llevar pipa, hombre no"
28,0,"Sí, Lana, en serio. ¿Por qué mi madre no es apta para criar a AJ?",0,20,19,13,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,2,0,0,1,0,4,4,0,13,0,"si, lana, en serio. ¿por que mi madre no ser apto para criar a aj?"
